# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1741107268
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5103/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
235.154,0.998149,0.000477631,10,1023,0,-232.557,0.113818,0.0138807,0.0466869,0.0453529,11.4972,0.289495,0.127555,0.00117589,0.25367,0.00457234,5.25756,3.06397,0.119949,0.210296,0.110218,5.43064,0.0147811
236.872,0.908644,0.000849707,10,1023,0,-221.071,0.107694,0.0143719,0.0459235,0.0600635,11.1445,0.460362,0.0965838,0.000343442,0.383173,0.00751076,3.66229,2.51786,0.118701,0.2111,0.105409,5.29109,0.00819568
236.733,0.712925,0.00119671,7,145,1,-224.032,0.104393,0.0150111,0.047444,0.0594469,11.2393,0.488369,0.100063,0.000339933,0.374898,0.00747887,3.31912,2.70271,0.106743,0.231223,0.104095,5.31538,0.00841546
240.789,0.887236,0.00102926,10,1023,0,-227.77,0.107281,0.0199514,0.0442039,0.0548424,19.821,0.288991,0.115158,0.00140843,0.773616,0.00664008,16.8554,2.76515,0.10626,0.232951,0.106975,5.38276,0.00662779
239.48,0.544119,0.00136524,6,127,0,-235.136,0.110932,0.019493,0.0433459,0.0536712,20.3043,0.295315,0.109155,0.00137596,0.772051,0.00665408,16.4211,2.88419,0.105696,0.241385,0.106618,5.24961,0.00679183
243.086,0.934856,0.000776085,10,1023,0,-231.29,0.0949803,0.0171429,0.0577615,0.0417451,19.1921,0.429659,0.0884934,0.00171254,1.68445,0.0059312,14.9484,1.98886,0.132115,0.182063,0.105884,5.48193,0.0109879
239.88,0.98026,0.0011532,10,1023,0,-231.869,0.0958383,0.014576,0.0494098,0.0531159,15.0311,0.176285,0.106476,0.00187989,1.85791,0.00761847,11.5351,2.91161,0.117538,0.205271,0.107325,5.5076,0.00873423
240.423,0.280398,0.0019016,1,3,1,-232.162,0.0959754,0.0145969,0.0495296,0.0531402,15.0526,0.176044,0.106344,0.00188222,1.85463,0.0076153,11.5304,2.91807,0.117694,0.205273,0.107375,5.50123,0.0087694
240.029,0.984889,0.000578165,10,1023,0,-229.251,0.100569,0.0179432,0.0524158,0.0488806,12.15,0.265508,0.109708,0.00189004,2.71286,0.00447202,7.67487,3.65812,0.115812,0.206777,0.0988602,5.22161,0.013231
241.873,0.847486,0.000961339,10,1023,0,-231.945,0.105176,0.017694,0.0611481,0.0464549,14.1464,0.204507,0.115953,0.00116997,3.42912,0.00488998,9.76774,3.76571,0.118229,0.200033,0.100742,5.36319,0.0101703
245.21,0.96137,0.00114545,10,1023,0,-235.882,0.0948574,0.0126816,0.0449327,0.0503978,17.9675,0.539365,0.0929484,0.00121839,12.7946,0.00660829,10.2455,1.19813,0.137297,0.186894,0.112364,5.48235,0.00651184
245.987,0.0295899,0.00178033,8,511,0,-237.604,0.095604,0.0125989,0.0435489,0.0507047,17.5632,0.54082,0.0944938,0.00122677,13.2094,0.00679421,10.253,1.1943,0.13639,0.188502,0.11246,5.52025,0.00652514
243.834,0.999899,0.000310353,10,1023,0,-239.635,0.0892692,0.0118037,0.0452113,0.0497183,24.4334,0.471422,0.0976572,0.00119687,10.9177,0.00819582,12.1969,1.086,0.10237,0.255369,0.115776,5.48192,0.00483525
240.909,0.999603,0.000528736,10,1023,0,-227.301,0.0868434,0.00936521,0.0524066,0.0491885,28.4788,0.440419,0.0850124,0.00135928,11.5727,0.00917554,10.1633,0.964105,0.109943,0.231739,0.115545,5.5929,0.00399795
240.623,0.982883,0.0008937,10,1023,0,-232.801,0.109513,0.0135286,0.0493373,0.0524388,13.2973,0.286535,0.105507,0.0016934,7.89602,0.00426231,6.29083,3.01486,0.111694,0.212451,0.0977006,5.23567,0.00985128
241.606,0.511326,0.00144352,9,703,0,-233.876,0.100638,0.0117878,0.0465757,0.0443762,10.0087,0.203141,0.123098,0.00107811,6.00343,0.00778531,8.65058,1.56595,0.120991,0.208997,0.111807,5.46298,0.00814545
242.826,0.980357,0.000789902,10,1023,0,-236.797,0.104047,0.0160924,0.0680571,0.0556649,19.5361,0.272504,0.0756886,0.000775502,12.876,0.00567251,11.8773,2.79972,0.109784,0.218608,0.104558,5.40897,0.00537301
243.088,0.35035,0.00126122,9,511,0,-236.061,0.0988549,0.0169893,0.0618395,0.0606869,20.0542,0.347791,0.0738606,0.000696545,11.1337,0.00733991,11.8858,2.4843,0.112475,0.211491,0.102234,5.41409,0.00565665
247.487,0.992106,0.000483886,10,1023,0,-238.054,0.0959386,0.0134301,0.0540066,0.0574521,22.5116,0.340218,0.0840676,0.000620807,13.1335,0.00644429,11.1947,2.29264,0.126206,0.194545,0.107061,5.50133,0.00493124
246.431,0.948676,0.000790582,10,1023,0,-238.852,0.100614,0.0150192,0.0576563,0.05849,15.5872,0.267941,0.0739816,0.000431292,10.1477,0.00551042,10.9828,2.32688,0.114553,0.224068,0.112574,5.47242,0.00562929
244.256,0.259421,0.00116534,9,575,0,-239.863,0.0969121,0.0148156,0.0576056,0.0573691,16.1035,0.28601,0.077178,0.000426041,9.4472,0.00561481,10.1199,2.268,0.111015,0.214385,0.0993215,5.28505,0.00527348
