# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
105.495,0.895249,0.00108857,10,2047,0,-95.9162,0.103086,5.87335,0.212535,0.321009,0.00252414,0.000274837,0.0364643,2.54275,1.39184,0.166493,0.118919,0.591547,0.325185,0.246309,0.6946,10.0993,0.017622
101.955,0.469921,0.00141157,12,4095,0,-96.2739,0.0904406,6.57733,0.189864,0.581421,0.00179799,0.000138935,0.0456882,1.60368,1.33037,0.175772,0.0791415,0.702961,0.348941,0.199518,0.720633,11.813,0.0136737
98.7586,0.999934,0.000727375,11,2047,0,-92.6672,0.0993757,3.57562,0.174193,0.431623,0.00246413,0.000166839,0.0459762,2.25361,1.22859,0.15896,0.0926544,0.661121,0.29786,0.228514,0.613748,10.2605,0.0506232
103.597,0.990842,0.00117988,10,1023,0,-92.8388,0.104184,6.95386,0.21466,0.423075,0.00632401,0.000146437,0.0377374,1.02707,1.1915,0.140462,0.278398,0.758582,0.396534,0.152851,0.532448,10.2745,0.0191503
102.646,0.147685,0.00186643,8,511,0,-94.2731,0.106446,6.56057,0.192893,0.41197,0.0057404,0.000160931,0.0450833,1.02581,1.19747,0.142027,0.238562,0.741837,0.394701,0.154625,0.52139,10.0548,0.0188879
103.575,0.992629,0.000489052,12,4095,0,-95.0408,0.101175,5.42367,0.193514,0.360281,0.00404194,0.000208421,0.0430299,3.05927,1.28342,0.219737,0.149516,0.644016,0.29301,0.316729,0.859964,10.6596,0.0153764
105.412,0.988611,0.000776012,11,2673,1,-95.2934,0.0882666,4.6007,0.206134,0.39173,0.00772866,7.82391e-05,0.0414157,0.534114,1.31165,0.182875,0.381259,0.693867,0.433601,0.170599,0.743857,11.6378,0.00890037
105.378,0.392164,0.00121457,10,1023,0,-98.4029,0.0971703,6.44489,0.223442,0.392318,0.00633918,4.5374e-05,0.040345,0.535544,1.36697,0.168724,0.240704,0.645279,0.215496,0.399718,0.789906,10.5209,0.00671186
159.109,0.97771,0.000543218,14,26623,0,-96.875,0.0614026,6.60404,0.195118,0.359489,0.00246763,0.00847415,0.0353754,7.11363e-33,7.37035e-10,0.175134,0.230361,0.00834258,0.273684,0.290649,0.463996,7.26233,0.00524232
166.417,0.826372,0.00082836,10,1361,1,-150.183,0.0619921,5.76566,0.170897,0.439556,0.00438174,0.00649775,0.0418423,1.59204e-32,4.4657e-10,0.179117,0.297629,0.00800356,0.161893,0.521465,0.430796,6.42496,0.0032904
171.159,0.889233,0.000919189,12,5599,1,-158.786,0.0593741,7.13522,0.165643,1.52588,0.00253009,0.000706116,0.0463041,7.03065e-32,4.0158e-09,0.150466,0.150464,0.0391056,0.0996629,0.758686,0.454358,7.25207,0.00172498
171.884,0.2132,0.00115938,2,7,1,-160.937,0.0593552,7.13458,0.165133,1.52385,0.00253514,0.000705688,0.0463486,7.01289e-32,4.01707e-09,0.150492,0.15049,0.0390809,0.0997367,0.759125,0.454076,7.23728,0.00172412
174.178,0.736672,0.000365232,13,8191,0,-160.839,0.0653294,4.53475,0.130133,1.36085,0.00342528,0.000635274,0.060044,6.21209e-32,6.85261e-09,0.249589,0.127735,0.454415,0.203908,0.479651,0.382511,5.19506,0.0396759
197.162,0.99128,0.000338221,14,16383,0,-165.723,0.0566491,6.31466,0.144105,1.69993,0.00561926,0.00067509,0.0539566,7.33499e-29,0.000339987,0.195735,0.265985,0.20968,0.15017,0.578702,0.388521,5.7775,0.000365256
193.764,0.970897,0.000525104,12,4095,0,-186.742,0.0594338,1.51009,0.157423,0.675979,0.00499367,0.000299027,0.0511016,2.05493e-28,0.000935439,0.370374,0.149499,0.293799,0.0796521,1.80367,0.687925,6.03239,0.000342696
211.008,0.977226,0.000778778,13,8191,0,-183.228,0.0617648,0.302122,0.0856262,0.168609,0.00614314,0.099449,0.0517299,7.05762e-23,0.00323398,0.332995,0.200484,0.520001,0.192848,0.637134,0.671628,6.82953,0.00351504
211.514,0.376224,0.00116494,3,10,1,-206.255,0.0616918,0.301055,0.0854456,0.168686,0.00617584,0.0998727,0.0515688,7.04038e-23,0.00322787,0.333718,0.200803,0.520773,0.192447,0.634596,0.67229,6.84594,0.00352755
