Cell	Parent
1854	916
2138	916
3425	916
2604	1052
246	1096
268	1096
396	1096
589	1096
993	1096
1234	1096
1343	1096
2724	1096
3468	1096
3548	1096
3558	1096
3995	1096
4114	1096
4442	1096
4475	1096
809	1120
2208	1120
2391	1120
3633	1120
4077	1120
37	1568
607	1568
1348	1568
1894	1568
2276	1568
4143	1568
4297	1568
340	1677
264	2137
4046	2137
209	2204
611	2204
1066	2204
2126	2204
2400	2204
3590	2204
3664	2204
3986	2204
4214	2204
4336	2204
4903	2224
52	2256
1337	2256
1843	2256
2123	2256
3256	2256
3270	2256
3395	2256
3657	2256
4260	2256
4323	2256
4551	2256
4922	2256
5005	2256
1562	2418
1449	2439
2732	2439
4233	2439
4886	2439
3130	2564
1267	2731
106	3124
637	3124
679	3124
763	3124
837	3124
971	3124
1111	3124
1460	3124
1662	3124
3331	3124
4596	3124
4753	3124
593	3199
739	3199
1586	3199
4118	3199
4269	3199
724	3599
405	3667
2853	3667
103	3670
1387	3670
1490	3670
1560	3670
1953	3670
2197	3670
2756	3670
3194	3670
20	4413
127	4413
2062	4413
2409	4413
2673	4413
2977	4413
4203	4413
1769	4637
955	4681
117	7
384	7
474	7
529	7
544	7
547	7
564	7
606	7
702	7
834	7
1161	7
1171	7
1220	7
1262	7
1326	7
1355	7
1459	7
1521	7
1558	7
1608	7
1617	7
1659	7
1731	7
1949	7
1997	7
2045	7
2268	7
2269	7
2577	7
2595	7
2599	7
2601	7
2610	7
2613	7
2882	7
2883	7
2931	7
3081	7
3232	7
3274	7
3345	7
3432	7
3449	7
3739	7
3785	7
3803	7
3869	7
3887	7
3989	7
4124	7
4435	7
4464	7
4747	7
4751	7
4768	7
4814	7
4835	7
4950	7
5109	7
701	44
1164	44
1445	44
3625	44
630	61
1550	61
1962	61
2051	61
2219	61
2243	61
2360	61
2478	61
2590	61
2649	61
2663	61
2669	61
2690	61
3000	61
3092	61
3386	61
3405	61
3985	61
4164	61
4431	61
4614	61
4618	61
4904	61
137	74
875	74
944	74
1094	74
1756	74
2288	74
2362	74
2657	74
3220	74
3371	74
3945	74
3948	74
4689	74
65	579
109	579
222	579
449	579
861	579
1464	579
1616	579
1620	579
1729	579
1965	579
2716	579
2934	579
3024	579
3334	579
3384	579
3575	579
3651	579
3938	579
4346	579
4392	579
4574	579
4771	579
75	582
1839	582
2110	582
2736	582
3891	582
4742	582
1198	723
329	751
1237	751
1318	751
1514	751
1679	751
2698	751
3372	751
3746	751
4	756
931	756
1890	756
3418	756
686	1055
2295	1134
3293	1134
1246	1144
3487	1144
3480	1313
278	1317
1412	1317
2348	1317
4537	1317
409	1595
471	1595
465	1656
1751	1656
2190	1656
2540	1656
4004	1656
2522	2167
2566	2167
3159	2167
4420	2167
743	2181
790	2181
849	2181
1000	2181
1176	2181
1385	2181
1661	2181
2012	2181
2111	2181
2396	2181
2451	2181
2541	2181
3290	2181
3771	2181
3856	2181
3984	2181
4564	2181
4992	2181
1181	2592
5033	2592
1191	2614
464	3192
2272	3192
4189	3192
303	3302
395	3302
913	3302
1628	3302
2031	3302
2910	3302
2946	3302
3710	3302
3905	3302
4797	3302
5030	3302
5083	3302
1527	3653
1905	3653
4891	3752
2844	3781
907	4623
3973	4623
4273	4623
4738	4931
86	153
111	153
285	153
309	153
325	153
502	153
508	153
633	153
668	153
696	153
844	153
871	153
958	153
1108	153
1115	153
1129	153
1341	153
1435	153
1492	153
1495	153
1955	153
3113	153
3329	153
3344	153
3672	153
3923	153
4051	153
4062	153
4244	153
4428	153
4515	153
4764	153
4944	153
318	189
1618	189
1812	189
1973	189
2006	189
2691	189
2742	189
2909	189
2969	189
4848	189
40	331
115	331
1093	331
2088	331
2144	331
2285	331
1314	357
1578	357
2778	357
519	456
753	456
2178	456
2568	456
2611	456
2760	456
3960	456
4061	456
4432	456
4651	456
4887	456
5081	456
355	522
392	522
590	522
859	522
1059	522
1213	522
3308	522
4882	522
1259	735
3457	735
3493	735
149	810
1463	1187
1835	1187
4499	1187
505	1202
5036	1312
857	1411
3733	1411
4173	1411
930	1612
4155	1612
2997	1633
230	1739
441	1739
779	1739
2083	1739
3537	1739
4759	1739
5084	1739
5095	1739
2304	1926
2715	1926
356	2384
3534	2799
1283	2866
2771	2866
2788	2866
3402	3338
2448	4516
377	4680
4170	4680
4561	4680
139	4733
1009	4733
1025	4733
1986	4733
2329	4733
4094	4733
4818	4733
110	4960
218	4960
531	4960
840	4960
905	4960
1018	4960
1128	4960
1572	4960
1754	4960
2094	4960
2463	1180
3772	1180
4194	24
9	85
81	85
358	85
515	85
538	85
909	85
1966	85
2289	85
2382	85
3133	85
4290	85
4525	85
4893	85
970	421
2080	421
2517	421
2553	421
3735	421
2870	708
4670	708
1040	740
1530	740
1627	740
2905	740
2906	740
3162	740
4119	740
125	1151
725	1151
1522	1151
1722	1151
1980	1151
2954	1151
3731	1151
3901	1151
73	1254
272	1254
300	1254
1329	1254
2812	1254
2836	1254
3020	1254
3052	1254
3807	1254
4024	1254
4482	1254
1759	1687
4246	1687
142	2155
431	2155
842	2155
926	2155
969	2155
976	2155
983	2155
1418	2155
1548	2155
1557	2155
1676	2155
1816	2155
2108	2155
3112	2155
3448	2155
3714	2155
3766	2155
3770	2155
4007	2155
4257	2155
4441	2155
4495	2155
4698	2155
4957	2155
4977	2155
1081	3125
3312	3125
3674	3125
4498	3125
2794	3351
3614	3351
141	3786
426	3786
872	3786
1193	3786
1410	3786
2687	3786
3538	3786
3619	3786
4806	3786
4855	3786
1440	4059
2502	4059
2751	4059
2354	4121
2975	4121
3587	4121
2739	5003
2482	1205
1455	1219
2700	1219
2703	1219
721	1230
3748	1230
4926	1230
51	2170
1941	2170
3126	2170
3755	2170
472	3774
570	3774
3009	3774
4133	3774
4417	3774
4994	3774
3280	4251
3278	4315
3607	4315
1768	4907
1064	16
1917	16
2183	16
2743	16
3437	16
4160	16
4319	16
3242	50
3305	50
277	503
1351	503
4945	503
4337	1183
4479	1183
4107	1695
4625	3542
1758	4629
1956	4629
3453	164
2090	179
2309	179
3595	179
3918	179
156	247
161	247
1005	247
1256	247
1709	247
2308	247
2912	247
2928	247
2935	247
2943	247
2984	247
2994	247
3193	247
3716	247
3725	247
3900	247
4095	247
4353	247
4447	247
4592	247
4717	247
160	568
1805	568
3893	568
4455	568
4456	568
122	893
321	893
683	893
1043	893
1268	893
1553	893
1931	893
2497	893
2710	893
2807	893
4423	893
4793	893
123	948
5111	975
1714	1157
2333	1157
2647	1157
4494	1157
3741	1169
5105	1169
1867	1250
1880	1250
219	1567
228	1567
2025	1567
2134	1567
3401	1636
3433	1636
3808	1636
4586	2070
4687	2070
5075	2070
1415	2341
1740	2341
2002	2341
2003	2341
2021	2341
4109	2341
4842	2341
5100	2341
3835	2863
1301	3481
2666	3724
3151	3724
4122	3724
129	4470
1579	4470
1603	4470
1626	4470
1724	4470
2000	4470
2063	4470
2313	4470
2885	4470
3496	4470
3804	4470
3842	4470
4091	4470
4530	4470
4536	4470
4700	4470
5025	4470
1020	4686
2695	4686
3483	4686
5118	4686
438	839
555	839
2347	2886
5125	2886
864	3055
1414	3055
1545	3055
1721	3055
1809	3055
2929	3055
4101	3055
4702	3055
162	3520
533	3520
1036	3520
1710	3520
1848	3520
1976	3520
2076	3520
2077	3520
2356	3520
5098	3520
210	3555
990	3555
3089	3555
3789	3555
3836	3555
4376	3555
1007	3738
2443	3738
2520	3738
3919	3738
4962	3738
773	3861
1402	3861
3840	3861
1837	4600
2267	4600
4222	314
4550	314
866	403
2343	403
2846	403
3316	403
1556	2430
2319	2430
3166	2430
4780	2430
2340	2938
3450	2938
1541	4087
4757	4087
183	525
475	525
1099	525
1592	525
1842	525
2263	525
2644	525
2650	525
2855	525
4138	525
4347	525
448	805
468	805
530	805
562	805
567	805
1417	805
1573	805
1588	805
2073	805
2091	805
2763	805
2857	805
2875	805
3088	805
3544	805
3709	805
4570	805
4704	805
4800	805
4843	805
452	811
511	811
1069	811
1162	811
140	1702
1634	1702
2376	1702
119	1761
651	1761
1934	1761
4798	2499
201	3829
553	3829
692	3829
845	3829
873	3829
972	3829
1228	3829
1264	3829
1361	3829
1425	3829
2084	3829
2515	3829
2552	3829
2793	3829
2972	3829
3063	3829
3376	3829
3476	3829
3484	3829
3486	3829
3500	3829
3833	3829
3946	3829
4727	3829
4728	3829
4756	3829
2038	4000
3409	4000
3706	4000
59	4130
3038	4130
120	18
815	18
940	18
1210	18
1242	18
1421	18
3532	18
3864	18
4200	18
4471	18
5078	18
497	302
510	302
639	302
675	302
1121	302
1208	302
1461	302
1474	302
1728	302
2495	302
3198	302
3204	302
3261	302
3294	302
3934	302
4069	302
4951	302
114	328
1360	328
4404	328
4576	328
942	645
1047	645
3071	645
3541	645
1915	762
2383	762
3613	762
3638	762
3640	762
4575	762
1148	877
1438	953
1927	953
4225	953
319	1017
1278	1017
2544	1017
563	1067
2989	1067
3349	1067
4807	1067
301	1615
1741	1615
2976	1615
3074	1615
2370	1948
3354	1948
3846	1948
4040	2253
477	2955
3546	2955
4826	2955
576	3253
2397	3253
150	3328
170	3328
332	3328
939	3328
480	3353
1515	3353
1972	3353
2278	3353
2467	3353
2558	3353
3639	3353
4092	3353
4240	3353
4427	3353
4866	3353
709	4187
2575	4187
1	4538
1197	4538
3821	4538
3857	4538
4821	4538
154	152
1021	152
1238	152
2064	152
2385	152
2766	152
3035	152
3226	152
4262	152
4385	152
4426	152
4520	152
4898	152
1335	429
1666	429
3115	429
4146	429
6	662
339	662
759	662
870	662
1261	662
1287	662
1752	662
1992	662
2145	662
2635	662
4060	662
4760	662
761	808
121	1023
1834	1023
2757	1023
4989	1023
785	2060
1082	2060
1471	2060
1599	2060
1938	2060
2740	2060
2781	2060
2848	2060
3942	2060
4267	2060
1596	2539
3937	2539
79	3171
2222	3171
4490	3171
2806	3620
4642	3620
3499	4209
586	4252
3662	4912
312	26
338	26
2424	26
1944	316
4036	316
4192	316
4306	316
4309	316
4517	316
1216	349
1338	349
1951	349
3310	349
3424	349
3645	349
4402	349
583	483
3117	483
1015	638
3227	638
11	646
1110	646
1227	646
4303	646
4480	646
1498	2603
401	3347
1452	4919
4970	4919
38	47
42	47
324	47
672	47
1924	47
3603	47
1106	514
12	921
17	921
284	921
2221	921
2280	921
2709	921
2834	921
3668	921
3678	921
4211	921
4502	921
4621	921
2215	3972
3326	3972
1070	4139
1657	4139
2213	4139
3033	4139
3400	4139
1930	4415
2826	4415
2491	906
2493	906
1520	1327
2667	1327
951	2032
2307	2032
3427	2032
3439	2032
3516	2032
4740	2032
159	3902
4602	3902
100	876
1591	876
4085	876
462	1117
713	1117
3420	1117
4224	1117
4325	1117
4339	1117
4676	1117
5099	1117
629	1446
3943	1458
1622	2792
4201	4238
2720	259
2474	750
2712	750
3359	750
3391	750
3997	750
2399	777
2180	1380
89	1888
3574	1888
2033	2152
3233	2152
2107	3953
280	351
710	351
1786	351
1858	351
1900	351
3304	351
4341	351
4902	351
184	1796
2187	1796
2282	1796
2344	1796
2519	1796
2913	1796
3205	1796
3299	1796
4082	1796
4254	1796
174	2306
628	2306
835	2306
924	2306
1051	2306
1862	2306
2154	2565
1097	4329
2633	4329
